#NAME,WT27,WT28,WT38,KO29,KO33,KO41,C4,C20,C21,C29,C32,C33,M9,M14,M17,M32,M41,M43
#CLASS:Type,Ctr,Ctr,Ctr,Mut,Mut,Mut,Ctr,Ctr,Ctr,Mut,Mut,Mut,Ctr,Ctr,Ctr,Mut,Mut,Mut
#CLASS:Time,D90,D90,D90,D90,D90,D90,D47,D47,D47,D47,D47,D47,D61,D61,D61,D61,D61,D61
ENSDARG00000000001,841,532,733,301,596,86,247,245,218,157,239,174,430,138,159,144,272,151
ENSDARG00000000002,85,77,89,68,65,105,66,86,99,135,144,78,304,132,221,102,244,142
ENSDARG00000000018,1880,2181,1489,2123,3091,297,1915,1796,1840,1432,1987,1165,2200,1724,1220,1718,1789,1010
ENSDARG00000000019,1742,1315,1432,2077,2630,1984,2144,2145,2006,1694,1931,1061,2949,1830,1627,1683,1803,1407
ENSDARG00000000068,1386,1399,1688,1464,2125,440,562,765,475,422,919,351,870,682,570,636,627,390
ENSDARG00000000069,3080,2510,3227,4706,3909,740,638,831,716,634,844,451,1216,553,704,682,716,537
ENSDARG00000000086,767,810,954,836,1051,316,1229,1567,1218,1154,1791,1008,1681,1309,900,1538,1764,1173
ENSDARG00000000103,4327,7083,5102,3088,4375,1267,3410,5904,6534,5032,6429,2992,10747,4106,3907,5382,6858,4516
ENSDARG00000000142,214,187,245,303,426,46,143,225,153,139,313,125,322,122,297,227,211,190
ENSDARG00000000151,1694,1637,1902,1616,1884,168,567,528,588,513,749,444,939,642,483,725,736,425
ENSDARG00000000161,199,295,315,261,557,11,304,190,271,95,230,36,497,99,267,141,330,79
ENSDARG00000000175,12,18,17,96,56,9,54,50,36,43,34,46,110,54,96,31,35,26
ENSDARG00000000183,957,796,890,994,1246,216,1424,1486,1241,1100,1705,772,1814,1769,1236,1638,1449,1058
ENSDARG00000000189,289,327,315,239,284,165,448,477,470,343,494,219,753,606,581,464,510,388
ENSDARG00000000212,32,309,37,66,96,429,9,11,24,182,19,31,30,9,42,32,68,16
ENSDARG00000000229,57,65,81,126,132,257,157,158,119,119,159,93,110,109,67,133,215,103
ENSDARG00000000241,75,98,122,120,170,403,128,68,133,191,256,80,236,124,261,153,176,126
ENSDARG00000000324,66,278,101,34,51,26,199,244,268,262,298,206,457,265,283,239,313,198
ENSDARG00000000349,4,0,0,8,2,30,0,2,2,4,6,2,0,2,1,3,0,1
ENSDARG00000000369,3,2,7,6,8,16,2,4,4,7,4,3,3,3,0,5,2,4
ENSDARG00000000370,150,126,135,178,286,16,536,628,476,560,405,495,404,265,176,515,377,272
